name,neighbourhood,latitude,longitude,ndvi,built_up_density_pct,distance_to_green_space_m,elevation_m,risk_score,risk_category
Site 1,Tema,5.706477096811654,-0.24020497394601859,0.237,35.0,958.3,10.5,61.8,High
Site 2,Dansoman,5.663403252197334,-0.26443765782820094,0.756,42.7,614.5,84.6,32.6,Moderate
Site 3,Dzorwulu,5.6976898418502655,-0.26965376514439277,0.559,82.3,296.3,56.5,61.4,High
Site 4,Dzorwulu,5.72570311226027,-0.2241812131081011,0.439,36.9,1344.7,30.1,56.7,High
Site 5,Osu,5.630828064330206,-0.2747385472473383,0.04,24.4,923.5,12.5,67.2,High
Site 6,Achimota,5.615406632312648,-0.126959664576467,0.04,57.3,142.0,71.5,74.8,High
Site 7,Kaneshie,5.683518677112717,-0.2844270504674843,-0.048,89.6,1934.6,55.8,96.5,Severe
Site 8,Osu,5.711569188388252,-0.17264446796255256,0.68,69.2,1383.2,48.0,57.0,High
Site 9,Spintex,5.702457026955323,-0.05082578653675579,0.441,58.5,2393.4,80.5,63.1,High
Site 10,Airport Residential,5.709562729771727,-0.09650743262349529,0.537,18.3,1034.9,71.0,33.8,Moderate
Site 11,Dzorwulu,5.637116662962587,-0.14619514044224727,-0.081,62.3,760.3,13.7,84.1,Severe
Site 12,Cantonments,5.713566843235005,-0.22343659480334707,0.773,94.2,433.4,28.1,58.2,High
Site 13,Tema,5.574041811074122,-0.14402604092709037,0.649,21.9,2159.2,22.4,45.3,Moderate
Site 14,Madina,5.65889781959217,-0.16823963402208708,0.091,54.1,1608.3,67.0,68.3,High
Site 15,East Legon,5.551151732099624,-0.19347915402740712,0.064,84.6,37.0,3.0,77.7,Severe
Site 16,Airport Residential,5.614917165980054,-0.26732240581495015,0.065,73.0,21.4,51.3,79.7,Severe
Site 17,East Legon,5.623292306974279,-0.0783489461898833,0.174,69.2,377.9,68.6,70.2,High
Site 18,Kaneshie,5.629234538321851,-0.18755383779466936,0.372,69.7,1330.9,78.9,68.6,High
Site 19,Kaneshie,5.689093441337972,-0.25134437204480875,0.289,40.6,3491.4,30.8,70.2,High
Site 20,Spintex,5.627711620254069,-0.20806016228067759,0.162,35.0,130.4,73.9,57.7,High
Site 21,East Legon,5.639738724524506,-0.19646756186776823,0.451,78.8,721.4,10.0,70.7,High
Site 22,Kaneshie,5.597508826174866,-0.09311552610828142,0.026,78.9,383.6,76.2,77.2,Severe
Site 23,Madina,5.624650358325868,-0.11659640485964948,0.163,83.7,2803.0,11.5,88.8,Severe
Site 24,Adabraka,5.59545392545263,-0.10767377658966504,0.23,87.6,1476.7,35.8,78.7,Severe
Site 25,Osu,5.5646391847536885,-0.2972421838928382,0.31,53.5,1457.8,71.8,61.8,High
Site 26,Labadi,5.670689718676275,-0.1959615004550596,0.607,52.6,505.9,13.5,49.3,Moderate
Site 27,Teshie,5.683642559711004,-0.17966396209116908,0.08,77.9,428.7,20.6,80.6,Severe
Site 28,East Legon,5.673898069201923,-0.29520193079423585,0.363,65.2,255.5,65.0,59.2,High
Site 29,Cantonments,5.642698808760114,-0.23504669781374143,0.433,69.7,46.4,64.8,64.0,High
Site 30,Airport Residential,5.625957156035846,-0.10992754421946624,-0.058,77.6,1600.3,57.7,84.4,Severe
Site 31,Adabraka,5.722666729914365,-0.2657225735677502,0.447,85.7,1340.9,62.5,68.6,High
Site 32,East Legon,5.653816357027243,-0.16617246713685208,0.053,38.7,6538.0,48.8,88.4,Severe
Site 33,Adabraka,5.645836375525946,-0.2461995319956906,-0.041,41.9,4555.9,22.7,94.2,Severe
Site 34,Dzorwulu,5.555128413161287,-0.2969698063390267,0.754,18.0,648.5,31.1,33.0,Moderate
Site 35,Adabraka,5.618249565525232,-0.23969963560011462,0.769,59.2,1172.2,16.3,52.9,Moderate
Site 36,East Legon,5.626039123757171,-0.05603156127248654,0.628,13.1,2316.9,81.8,33.7,Moderate
Site 37,Dansoman,5.62976455617938,-0.09961572202925259,0.174,49.6,1515.8,52.5,69.9,High
Site 38,Achimota,5.666034473845467,-0.06010583891974164,-0.012,56.1,227.3,36.1,77.8,Severe
Site 39,Cantonments,5.656720509345376,-0.17803648901840938,0.516,34.4,479.1,41.6,46.6,Moderate
Site 40,Labadi,5.671581018558689,-0.27256595033062414,0.296,60.2,110.6,85.3,64.7,High
Site 41,Labadi,5.7029766523084255,-0.16301012775657675,0.01,12.6,2464.2,13.8,66.1,High
Site 42,Cantonments,5.712597147743218,-0.18640566636000977,0.346,13.2,745.5,52.8,51.8,Moderate
Site 43,Dansoman,5.693624615245299,-0.088910729315096,-0.069,79.9,207.7,45.5,93.5,Severe
Site 44,Tema,5.741104739190987,-0.2754793548039388,0.718,40.6,891.1,55.0,39.8,Moderate
Site 45,Kaneshie,5.553646516535272,-0.17793971574455544,0.133,20.8,770.1,1.6,58.2,High
Site 46,Labadi,5.589155597136709,-0.2624878338265039,0.496,54.4,354.7,78.5,57.5,High
