id,name,latitude,longitude,ndvi,land_surface_temperature,built_up_density,impervious_surface,population_density,vegetation_percentage
1,Osu,5.5558,-0.183,0.2523,35.18,0.7168,0.7684,13124,51.3
2,Labone,5.5619,-0.1667,0.4227,33.21,0.5436,0.5462,9913,61.43
3,East Legon,5.6494,-0.1519,0.3817,32.42,0.4929,0.4265,8014,62.01
4,Airport Residential Area,5.6052,-0.1719,0.5395,31.77,0.4738,0.4008,6273,68.41
5,Cantonments,5.5793,-0.1735,0.5307,31.08,0.4391,0.5017,8049,70.06
6,Adabraka,5.558,-0.208,0.2466,36.04,0.8443,0.7654,13525,56.22
7,Jamestown,5.5333,-0.2167,0.2177,37.08,0.8343,0.8445,13010,53.61
8,Usshertown,5.539,-0.213,0.1215,36.11,0.7929,0.7721,13567,46.82
9,Ridge,5.561,-0.198,0.4142,32.72,0.5276,0.512,10248,63.8
10,North Ridge,5.567,-0.198,0.4487,31.88,0.5525,0.4596,8211,67.87
11,Kaneshie,5.558,-0.236,0.2758,35.99,0.8097,0.8211,14062,56.78
12,Dansoman,5.539,-0.256,0.2191,34.92,0.6846,0.6653,13063,50.36
13,Achimota,5.61,-0.226,0.4527,33.07,0.55,0.5897,9101,65.16
14,Abelenkpe,5.594,-0.205,0.3549,33.21,0.534,0.5502,10155,60.13
15,Dzorwulu,5.601,-0.19,0.4089,33.32,0.5261,0.4509,7413,62.92
16,Roman Ridge,5.594,-0.183,0.3625,33.13,0.5157,0.4476,8216,64.04
17,Tesano,5.596,-0.232,0.4394,34.04,0.6433,0.5214,10430,65.72
18,Kokomlemle,5.568,-0.205,0.2591,35.15,0.7669,0.6934,12543,55.7
19,Nima,5.572,-0.195,0.1576,37.28,0.7966,0.8201,13329,53.7
20,Maamobi,5.581,-0.19,0.231,36.13,0.8417,0.8331,13267,56.21
21,Madina,5.68,-0.167,0.337,34.88,0.6786,0.6001,10878,60.15
22,Adenta,5.708,-0.166,0.3156,33.83,0.6023,0.5169,8139,63.79
23,Spintex,5.635,-0.115,0.453,32.15,0.5608,0.4883,9825,70.23
24,Teshie,5.581,-0.1,0.37,33.88,0.6435,0.5918,11494,58.85
25,Nungua,5.596,-0.068,0.3477,33.62,0.6276,0.5441,9448,59.01
26,La,5.562,-0.156,0.3742,34.23,0.6771,0.6145,10639,62.7
27,Chorkor,5.534,-0.237,0.1716,35.78,0.7539,0.7285,13715,51.82
28,Mamprobi,5.534,-0.227,0.1541,36.84,0.736,0.7486,13806,53.59
29,Abeka,5.592,-0.236,0.1843,36.44,0.7585,0.7367,13383,49.17
30,Legon,5.651,-0.187,0.6042,29.59,0.3667,0.3308,5621,74.12
